"","id","year","sample_site","tag_code","sex","cwt_age","post_orbital_hypural_poh","scale_age","adipose_fin_clip"
"644","KIT644",2000,"Kitimat R",NA,"M",5,"641",NA,NA
"645","KIT645",2000,"Kitimat R",NA,"F",7,"832",NA,NA
"646","KIT646",2001,"Kitimat R",NA,"M",2,"320",NA,NA
"647","KIT647",2001,"Hirsch",NA,"M",2,"395",NA,NA
"648","KIT648",2001,"Kitimat R",NA,"M",3,"590",NA,NA
"649","KIT649",2001,"Kitimat R",NA,"M",3,"600",NA,NA
"650","KIT650",2001,"Kitimat R",NA,"M",3,"541",NA,NA
"651","KIT651",2001,"Hirsch",NA,"M",3,"575",NA,NA
"652","KIT652",2001,"Hirsch",NA,"M",3,"470",NA,NA
"653","KIT653",2001,"Hirsch",NA,"M",3,"500",NA,NA
"654","KIT654",2001,"Hirsch",NA,"M",3,"525",NA,NA
"655","KIT655",2001,"Hirsch",NA,"M",3,"575",NA,NA
"656","KIT656",2001,"Hirsch",NA,"M",3,"525",NA,NA
"657","KIT657",2001,"Kitimat R",NA,"F",4,"733",NA,NA
"658","KIT658",2001,"Kitimat R",NA,"F",4,"731",NA,NA
"659","KIT659",2001,"Kitimat R",NA,"F",4,"672",NA,NA
"660","KIT660",2001,"Kitimat R",NA,"F",4,"730",NA,NA
"661","KIT661",2001,"Hirsch",NA,"F",4,"705",NA,NA
"662","KIT662",2001,"Hirsch",NA,"F",4,"790",NA,NA
"663","KIT663",2001,"Hirsch",NA,"F",4,"665",NA,NA
"664","KIT664",2001,"Hirsch",NA,"F",4,"675",NA,NA
"665","KIT665",2001,"Hirsch",NA,"F",4,"675",NA,NA
"666","KIT666",2001,"Kitimat R",NA,"M",4,"705",NA,NA
"667","KIT667",2001,"Kitimat R",NA,"M",4,"577",NA,NA
"668","KIT668",2001,"Kitimat R",NA,"M",4,"572",NA,NA
"669","KIT669",2001,"Kitimat R",NA,"M",4,"751",NA,NA
"670","KIT670",2001,"Hirsch",NA,"M",4,"625",NA,NA
"671","KIT671",2001,"Hirsch",NA,"M",4,"650",NA,NA
"672","KIT672",2001,"Hirsch",NA,"M",4,"712",NA,NA
"673","KIT673",2001,"Hirsch",NA,"M",4,"705",NA,NA
"674","KIT674",2001,"Hirsch",NA,"M",4,"500",NA,NA
"675","KIT675",2001,"Hirsch",NA,"M",4,"520",NA,NA
"676","KIT676",2001,"Hirsch",NA,"M",4,"515",NA,NA
"677","KIT677",2001,"Hirsch",NA,"M",4,"740",NA,NA
"678","KIT678",2001,"Kitimat R",NA,"F",5,"795",NA,NA
"679","KIT679",2001,"Kitimat R",NA,"F",5,"800",NA,NA
"680","KIT680",2001,"Kitimat R",NA,"F",5,"845",NA,NA
"681","KIT681",2001,"Kitimat R",NA,"F",5,"906",NA,NA
"682","KIT682",2001,"Kitimat R",NA,"F",5,"774",NA,NA
"683","KIT683",2001,"Kitimat R",NA,"F",5,"752",NA,NA
"684","KIT684",2001,"Kitimat R",NA,"F",5,"758",NA,NA
"685","KIT685",2001,"Kitimat R",NA,"F",5,"852",NA,NA
"686","KIT686",2001,"Kitimat R",NA,"F",5,"810",NA,NA
"687","KIT687",2001,"Kitimat R",NA,"F",5,"857",NA,NA
"688","KIT688",2001,"Kitimat R",NA,"F",5,"856",NA,NA
"689","KIT689",2001,"Kitimat R",NA,"F",5,"850",NA,NA
"690","KIT690",2001,"Hirsch",NA,"F",5,"740",NA,NA
"691","KIT691",2001,"Hirsch",NA,"F",5,"760",NA,NA
"692","KIT692",2001,"Hirsch",NA,"F",5,"818",NA,NA
"693","KIT693",2001,"Hirsch",NA,"F",5,"850",NA,NA
"694","KIT694",2001,"Kitimat R",NA,"M",5,"849",NA,NA
"695","KIT695",2001,"Kitimat R",NA,"M",5,"887",NA,NA
"696","KIT696",2001,"Kitimat R",NA,"M",5,"820",NA,NA
"697","KIT697",2001,"Kitimat R",NA,"M",5,"767",NA,NA
"698","KIT698",2002,"Hirsch",NA,"M",2,"310",NA,NA
"699","KIT699",2002,"Kitimat R",NA,"M",3,"730",NA,NA
"700","KIT700",2002,"Kitimat R",NA,"M",3,"630",NA,NA
"701","KIT701",2002,"Kitimat R",NA,"M",3,"509",NA,NA
"702","KIT702",2002,"Kitimat R",NA,"M",3,"553",NA,NA
"703","KIT703",2002,"Kitimat R",NA,"M",3,"466",NA,NA
"704","KIT704",2002,"Kitimat R",NA,"M",3,"533",NA,NA
"705","KIT705",2002,"Kitimat R",NA,"M",3,"452",NA,NA
"706","KIT706",2002,"Kitimat R",NA,"M",3,"502",NA,NA
"707","KIT707",2002,"Kitimat R",NA,"M",3,"548",NA,NA
"708","KIT708",2002,"Kitimat R",NA,"M",3,"507",NA,NA
"709","KIT709",2002,"Hirsch",NA,"M",3,"570",NA,NA
"710","KIT710",2002,"Hirsch",NA,"M",3,"580",NA,NA
"711","KIT711",2002,"Hirsch",NA,"M",3,"563",NA,NA
"712","KIT712",2002,"Hirsch",NA,"M",3,"610",NA,NA
"713","KIT713",2002,"Hirsch",NA,"M",3,"550",NA,NA
"714","KIT714",2002,"Kitimat R",NA,"F",4,"754",NA,NA
"715","KIT715",2002,"Kitimat R",NA,"F",4,"746",NA,NA
"716","KIT716",2002,"Kitimat R",NA,"F",4,"775",NA,NA
"717","KIT717",2002,"Kitimat R",NA,"F",4,"762",NA,NA
"718","KIT718",2002,"Kitimat R",NA,"F",4,"745",NA,NA
"719","KIT719",2002,"Kitimat R",NA,"F",4,"744",NA,NA
"720","KIT720",2002,"Kitimat R",NA,"F",4,"736",NA,NA
"721","KIT721",2002,"Kitimat R",NA,"F",4,"734",NA,NA
"722","KIT722",2002,"Kitimat R",NA,"F",4,"745",NA,NA
"723","KIT723",2002,"Kitimat R",NA,"F",4,"788",NA,NA
"724","KIT724",2002,"Kitimat R",NA,"F",4,"701",NA,NA
"725","KIT725",2002,"Kitimat R",NA,"F",4,"748",NA,NA
"726","KIT726",2002,"Kitimat R",NA,"F",4,"714",NA,NA
"727","KIT727",2002,"Kitimat R",NA,"F",4,"761",NA,NA
"728","KIT728",2002,"Kitimat R",NA,"F",4,"743",NA,NA
"729","KIT729",2002,"Kitimat R",NA,"F",4,"718",NA,NA
"730","KIT730",2002,"Kitimat R",NA,"F",4,"730",NA,NA
"731","KIT731",2002,"Hirsch",NA,"F",4,"754",NA,NA
"732","KIT732",2002,"Hirsch",NA,"F",4,"730",NA,NA
"733","KIT733",2002,"Kitimat R",NA,"M",4,"658",NA,NA
"734","KIT734",2002,"Kitimat R",NA,"M",4,"706",NA,NA
"735","KIT735",2002,"Kitimat R",NA,"M",4,"546",NA,NA
"736","KIT736",2002,"Kitimat R",NA,"M",4,"803",NA,NA
"737","KIT737",2002,"Kitimat R",NA,"M",4,"804",NA,NA
"738","KIT738",2002,"Kitimat R",NA,"M",4,"685",NA,NA
"739","KIT739",2002,"Kitimat R",NA,"M",4,"681",NA,NA
"740","KIT740",2002,"Kitimat R",NA,"M",4,"796",NA,NA
"741","KIT741",2002,"Kitimat R",NA,"M",4,"729",NA,NA
"742","KIT742",2002,"Hirsch",NA,"M",4,"860",NA,NA
"743","KIT743",2002,"Hirsch",NA,"M",4,"775",NA,NA
"744","KIT744",2002,"Hirsch",NA,"M",4,"720",NA,NA
"745","KIT745",2002,"Hirsch",NA,"M",4,"733",NA,NA
"746","KIT746",2002,"Hirsch",NA,"M",4,"820",NA,NA
"747","KIT747",2002,"Kitimat R",NA,"F",5,"800",NA,NA
"748","KIT748",2002,"Kitimat R",NA,"F",5,"815",NA,NA
"749","KIT749",2002,"Kitimat R",NA,"F",5,"828",NA,NA
"750","KIT750",2002,"Kitimat R",NA,"F",5,"825",NA,NA
"751","KIT751",2002,"Kitimat R",NA,"F",5,"776",NA,NA
"752","KIT752",2002,"Hirsch",NA,"F",5,"831",NA,NA
"753","KIT753",2002,"Hirsch",NA,"F",5,"760",NA,NA
"754","KIT754",2002,"Hirsch",NA,"F",5,"740",NA,NA
"755","KIT755",2002,"Hirsch",NA,"F",5,"801",NA,NA
"756","KIT756",2002,"Hirsch",NA,"F",5,"790",NA,NA
"757","KIT757",2002,"Hirsch",NA,"F",5,"738",NA,NA
"758","KIT758",2002,"Hirsch",NA,"F",5,"785",NA,NA
"759","KIT759",2002,"Hirsch",NA,"F",5,"767",NA,NA
"760","KIT760",2002,"Kitimat R",NA,"M",5,"780",NA,NA
"761","KIT761",2002,"Hirsch",NA,"M",5,"857",NA,NA
"762","KIT762",2003,"Kitimat R",NA,"M",2,"354",NA,NA
"763","KIT763",2003,"Hirsch",NA,"M",2,"380",NA,NA
"764","KIT764",2003,"Hirsch",NA,"M",2,"385",NA,NA
"765","KIT765",2003,"Hirsch",NA,"M",3,"510",NA,NA
"766","KIT766",2003,"Hirsch",NA,"M",3,"540",NA,NA
"767","KIT767",2003,"Hirsch",NA,"M",3,"535",NA,NA
"768","KIT768",2003,"Hirsch",NA,"M",3,"525",NA,NA
"769","KIT769",2003,"Kitimat R",NA,"F",4,"711",NA,NA
"770","KIT770",2003,"Kitimat R",NA,"F",4,"750",NA,NA
"771","KIT771",2003,"Kitimat R",NA,"F",4,"705",NA,NA
"772","KIT772",2003,"Kitimat R",NA,"F",4,"680",NA,NA
"773","KIT773",2003,"Kitimat R",NA,"F",4,"731",NA,NA
"774","KIT774",2003,"Kitimat R",NA,"F",4,"730",NA,NA
"775","KIT775",2003,"Kitimat R",NA,"F",4,"732",NA,NA
"776","KIT776",2003,"Kitimat R",NA,"F",4,"703",NA,NA
"777","KIT777",2003,"Kitimat R",NA,"F",4,"655",NA,NA
"778","KIT778",2003,"Kitimat R",NA,"F",4,"723",NA,NA
"779","KIT779",2003,"Kitimat R",NA,"F",4,"812",NA,NA
"780","KIT780",2003,"Kitimat R",NA,"F",4,"771",NA,NA
"781","KIT781",2003,"Hirsch",NA,"F",4,"696",NA,NA
"782","KIT782",2003,"Hirsch",NA,"F",4,"785",NA,NA
"783","KIT783",2003,"Hirsch",NA,"F",4,"820",NA,NA
"784","KIT784",2003,"Hirsch",NA,"F",4,"720",NA,NA
"785","KIT785",2003,"Hirsch",NA,"F",4,"765",NA,NA
"786","KIT786",2003,"Hirsch",NA,"F",4,"820",NA,NA
"787","KIT787",2003,"Hirsch",NA,"F",4,"710",NA,NA
"788","KIT788",2003,"Kitimat R",NA,"M",4,"714",NA,NA
"789","KIT789",2003,"Kitimat R",NA,"M",4,"700",NA,NA
"790","KIT790",2003,"Kitimat R",NA,"M",4,"783",NA,NA
"791","KIT791",2003,"Kitimat R",NA,"M",4,"715",NA,NA
"792","KIT792",2003,"Kitimat R",NA,"M",4,"640",NA,NA
"793","KIT793",2003,"Kitimat R",NA,"M",4,"655",NA,NA
"794","KIT794",2003,"Kitimat R",NA,"M",4,"624",NA,NA
"795","KIT795",2003,"Kitimat R",NA,"M",4,"667",NA,NA
"796","KIT796",2003,"Kitimat R",NA,"M",4,"604",NA,NA
"797","KIT797",2003,"Kitimat R",NA,"M",4,"686",NA,NA
"798","KIT798",2003,"Kitimat R",NA,"M",4,"774",NA,NA
"799","KIT799",2003,"Kitimat R",NA,"M",4,"633",NA,NA
"800","KIT800",2003,"Kitimat R",NA,"M",4,"640",NA,NA
"801","KIT801",2003,"Kitimat R",NA,"M",4,"601",NA,NA
"802","KIT802",2003,"Hirsch",NA,"M",4,"600",NA,NA
"803","KIT803",2003,"Hirsch",NA,"M",4,"620",NA,NA
"804","KIT804",2003,"Hirsch",NA,"M",4,"665",NA,NA
"805","KIT805",2003,"Hirsch",NA,"M",4,"700",NA,NA
"806","KIT806",2003,"Hirsch",NA,"M",4,"720",NA,NA
"807","KIT807",2003,"Hirsch",NA,"M",4,"810",NA,NA
"808","KIT808",2003,"Kitimat R",NA,"F",5,"690",NA,NA
"809","KIT809",2003,"Kitimat R",NA,"F",5,"900",NA,NA
"810","KIT810",2003,"Kitimat R",NA,"F",5,"778",NA,NA
"811","KIT811",2003,"Kitimat R",NA,"F",5,"780",NA,NA
"812","KIT812",2003,"Kitimat R",NA,"F",5,"825",NA,NA
"813","KIT813",2003,"Kitimat R",NA,"F",5,"812",NA,NA
"814","KIT814",2003,"Kitimat R",NA,"F",5,"794",NA,NA
"815","KIT815",2003,"Hirsch",NA,"F",5,"880",NA,NA
"816","KIT816",2003,"Hirsch",NA,"F",5,"750",NA,NA
"817","KIT817",2003,"Kitimat R",NA,"M",5,"892",NA,NA
"818","KIT818",2003,"Kitimat R",NA,"M",5,"658",NA,NA
"819","KIT819",2003,"Kitimat R",NA,"M",5,"870",NA,NA
"820","KIT820",2003,"Kitimat R",NA,"M",5,"760",NA,NA
"821","KIT821",2003,"Kitimat R",NA,"M",5,"893",NA,NA
"822","KIT822",2003,"Hirsch",NA,"F",6,"710",NA,NA
"823","KIT823",2004,"Kitimat R",NA,"M",2,"335",NA,NA
"824","KIT824",2004,"Hirsch",NA,"M",2,"304",NA,NA
"825","KIT825",2004,"Hirsch",NA,"M",2,"330",NA,NA
"826","KIT826",2004,"Hirsch",NA,"M",2,"421",NA,NA
"827","KIT827",2004,"Kitimat R",NA,"M",3,"604",NA,NA
"828","KIT828",2004,"Kitimat R",NA,"M",3,"611",NA,NA
"829","KIT829",2004,"Kitimat R",NA,"M",3,"533",NA,NA
"830","KIT830",2004,"Kitimat R",NA,"M",3,"625",NA,NA
"831","KIT831",2004,"Kitimat R",NA,"M",3,"573",NA,NA
"832","KIT832",2004,"Kitimat R",NA,"M",3,"535",NA,NA
"833","KIT833",2004,"Kitimat R",NA,"M",3,"588",NA,NA
"834","KIT834",2004,"Kitimat R",NA,"M",3,"504",NA,NA
"835","KIT835",2004,"Kitimat R",NA,"M",3,"571",NA,NA
"836","KIT836",2004,"Kitimat R",NA,"M",3,"534",NA,NA
"837","KIT837",2004,"Kitimat R",NA,"M",3,"533",NA,NA
"838","KIT838",2004,"Kitimat R",NA,"M",3,"535",NA,NA
"839","KIT839",2004,"Kitimat R",NA,"M",3,"575",NA,NA
"840","KIT840",2004,"Kitimat R",NA,"M",3,"594",NA,NA
"841","KIT841",2004,"Kitimat R",NA,"M",3,"572",NA,NA
"842","KIT842",2004,"Kitimat R",NA,"M",3,"555",NA,NA
"843","KIT843",2004,"Hirsch",NA,"M",3,"590",NA,NA
"844","KIT844",2004,"Kitimat R",NA,"F",4,"715",NA,NA
"845","KIT845",2004,"Kitimat R",NA,"F",4,"773",NA,NA
"846","KIT846",2004,"Hirsch",NA,"F",4,"667",NA,NA
"847","KIT847",2004,"Hirsch",NA,"F",4,"730",NA,NA
"848","KIT848",2004,"Kitimat R",NA,"M",4,"602",NA,NA
"849","KIT849",2004,"Kitimat R",NA,"M",4,"644",NA,NA
"850","KIT850",2004,"Hirsch",NA,"M",4,"683",NA,NA
"851","KIT851",2004,"Hirsch",NA,"M",4,"720",NA,NA
"852","KIT852",2004,"Hirsch",NA,"M",4,"672",NA,NA
"853","KIT853",2004,"Kitimat R",NA,"F",5,"815",NA,NA
"854","KIT854",2004,"Kitimat R",NA,"F",5,"805",NA,NA
"855","KIT855",2004,"Kitimat R",NA,"F",5,"760",NA,NA
"856","KIT856",2004,"Kitimat R",NA,"F",5,"744",NA,NA
"857","KIT857",2004,"Kitimat R",NA,"F",5,"796",NA,NA
"858","KIT858",2004,"Kitimat R",NA,"F",5,"830",NA,NA
"859","KIT859",2004,"Kitimat R",NA,"F",5,"731",NA,NA
"860","KIT860",2004,"Kitimat R",NA,"F",5,"845",NA,NA
"861","KIT861",2004,"Kitimat R",NA,"F",5,"792",NA,NA
"862","KIT862",2004,"Kitimat R",NA,"F",5,"760",NA,NA
"863","KIT863",2004,"Kitimat R",NA,"F",5,"805",NA,NA
"864","KIT864",2004,"Kitimat R",NA,"F",5,"792",NA,NA
"865","KIT865",2004,"Hirsch",NA,"F",5,"831",NA,NA
"866","KIT866",2004,"Hirsch",NA,"F",5,"760",NA,NA
"867","KIT867",2004,"Hirsch",NA,"F",5,"740",NA,NA
"868","KIT868",2004,"Hirsch",NA,"F",5,"801",NA,NA
"869","KIT869",2004,"Hirsch",NA,"F",5,"790",NA,NA
"870","KIT870",2004,"Hirsch",NA,"F",5,"738",NA,NA
"871","KIT871",2004,"Hirsch",NA,"F",5,"785",NA,NA
"872","KIT872",2004,"Hirsch",NA,"F",5,"767",NA,NA
"873","KIT873",2004,"Kitimat R",NA,"M",5,"835",NA,NA
"874","KIT874",2004,"Kitimat R",NA,"M",5,"857",NA,NA
"875","KIT875",2004,"Kitimat R",NA,"M",5,"736",NA,NA
"876","KIT876",2004,"Kitimat R",NA,"M",5,"751",NA,NA
"877","KIT877",2004,"Kitimat R",NA,"M",5,"755",NA,NA
"878","KIT878",2004,"Kitimat R",NA,"M",5,"820",NA,NA
"879","KIT879",2004,"Kitimat R",NA,"M",5,"720",NA,NA
"880","KIT880",2004,"Kitimat R",NA,"M",5,"852",NA,NA
"881","KIT881",2004,"Hirsch",NA,"M",5,"831",NA,NA
"882","KIT882",2004,"Hirsch",NA,"M",5,"730",NA,NA
"883","KIT883",2005,"Kitimat R",NA,"M",2,"380",NA,NA
"884","KIT884",2005,"Kitimat R",NA,"M",2,"350",NA,NA
"885","KIT885",2005,"Kitimat R",NA,"M",2,"340",NA,NA
"886","KIT886",2005,"Kitimat R",NA,"M",2,"360",NA,NA
"887","KIT887",2005,"Kitimat R",NA,"M",2,"380",NA,NA
"888","KIT888",2005,"Kitimat R",NA,"M",2,"379",NA,NA
"889","KIT889",2005,"Kitimat R",NA,"M",2,"369",NA,NA
"890","KIT890",2005,"Kitimat R",NA,"M",2,"305",NA,NA
"891","KIT891",2005,"Kitimat R",NA,"M",2,"334",NA,NA
"892","KIT892",2005,"Kitimat R",NA,"M",2,"420",NA,NA
"893","KIT893",2005,"Kitimat R",NA,"M",2,"404",NA,NA
"894","KIT894",2005,"Kitimat R",NA,"M",2,"325",NA,NA
"895","KIT895",2005,"Kitimat R",NA,"M",2,"385",NA,NA
"896","KIT896",2005,"Kitimat R",NA,"M",2,"351",NA,NA
"897","KIT897",2005,"Kitimat R",NA,"M",2,"368",NA,NA
"898","KIT898",2005,"Kitimat R",NA,"M",2,"355",NA,NA
"899","KIT899",2005,"Kitimat R",NA,"M",2,"353",NA,NA
"900","KIT900",2005,"Kitimat R",NA,"M",2,"352",NA,NA
"901","KIT901",2005,"Hirsch",NA,"M",2,"420",NA,NA
"902","KIT902",2005,"Kitimat R",NA,"M",3,"549",NA,NA
"903","KIT903",2005,"Kitimat R",NA,"M",3,"538",NA,NA
"904","KIT904",2005,"Kitimat R",NA,"M",3,"550",NA,NA
"905","KIT905",2005,"Kitimat R",NA,"M",3,"564",NA,NA
"906","KIT906",2005,"Kitimat R",NA,"M",3,"506",NA,NA
"907","KIT907",2005,"Kitimat R",NA,"M",3,"549",NA,NA
"908","KIT908",2005,"Kitimat R",NA,"M",3,"508",NA,NA
"909","KIT909",2005,"Kitimat R",NA,"M",3,"520",NA,NA
"910","KIT910",2005,"Kitimat R",NA,"M",3,"451",NA,NA
"911","KIT911",2005,"Kitimat R",NA,"M",3,"520",NA,NA
"912","KIT912",2005,"Kitimat R",NA,"M",3,"468",NA,NA
"913","KIT913",2005,"Kitimat R",NA,"M",3,"458",NA,NA
"914","KIT914",2005,"Kitimat R",NA,"M",3,"547",NA,NA
"915","KIT915",2005,"Kitimat R",NA,"M",3,"495",NA,NA
"916","KIT916",2005,"Hirsch",NA,"M",3,"590",NA,NA
"917","KIT917",2005,"Hirsch",NA,"M",3,"660",NA,NA
"918","KIT918",2005,"Hirsch",NA,"M",3,"610",NA,NA
"919","KIT919",2005,"Hirsch",NA,"M",3,"630",NA,NA
"920","KIT920",2005,"Kitimat R",NA,"F",4,"665",NA,NA
"921","KIT921",2005,"Kitimat R",NA,"F",4,"745",NA,NA
"922","KIT922",2005,"Kitimat R",NA,"F",4,"790",NA,NA
"923","KIT923",2005,"Kitimat R",NA,"F",4,"689",NA,NA
"924","KIT924",2005,"Kitimat R",NA,"F",4,"732",NA,NA
"925","KIT925",2005,"Kitimat R",NA,"F",4,"591",NA,NA
"926","KIT926",2005,"Kitimat R",NA,"F",4,"711",NA,NA
"927","KIT927",2005,"Kitimat R",NA,"F",4,"699",NA,NA
"928","KIT928",2005,"Kitimat R",NA,"F",4,"798",NA,NA
"929","KIT929",2005,"Kitimat R",NA,"F",4,"672",NA,NA
"930","KIT930",2005,"Kitimat R",NA,"F",4,"675",NA,NA
"931","KIT931",2005,"Kitimat R",NA,"F",4,"636",NA,NA
"932","KIT932",2005,"Kitimat R",NA,"F",4,"704",NA,NA
"933","KIT933",2005,"Kitimat R",NA,"F",4,"675",NA,NA
"934","KIT934",2005,"Kitimat R",NA,"F",4,"718",NA,NA
"935","KIT935",2005,"Kitimat R",NA,"F",4,"755",NA,NA
"936","KIT936",2005,"Kitimat R",NA,"F",4,"685",NA,NA
"937","KIT937",2005,"Kitimat R",NA,"F",4,"702",NA,NA
"938","KIT938",2005,"Kitimat R",NA,"F",4,"679",NA,NA
"939","KIT939",2005,"Kitimat R",NA,"F",4,"670",NA,NA
"940","KIT940",2005,"Kitimat R",NA,"F",4,"667",NA,NA
"941","KIT941",2005,"Kitimat R",NA,"F",4,"702",NA,NA
"942","KIT942",2005,"Kitimat R",NA,"F",4,"667",NA,NA
"943","KIT943",2005,"Kitimat R",NA,"F",4,"758",NA,NA
"944","KIT944",2005,"Kitimat R",NA,"F",4,"721",NA,NA
"945","KIT945",2005,"Kitimat R",NA,"F",4,"698",NA,NA
"946","KIT946",2005,"Kitimat R",NA,"F",4,"714",NA,NA
"947","KIT947",2005,"Kitimat R",NA,"M",4,"705",NA,NA
"948","KIT948",2005,"Kitimat R",NA,"M",4,"680",NA,NA
"949","KIT949",2005,"Kitimat R",NA,"M",4,"725",NA,NA
"950","KIT950",2005,"Kitimat R",NA,"M",4,"703",NA,NA
"951","KIT951",2005,"Kitimat R",NA,"M",4,"640",NA,NA
"952","KIT952",2005,"Kitimat R",NA,"M",4,"691",NA,NA
"953","KIT953",2005,"Kitimat R",NA,"M",4,"728",NA,NA
"954","KIT954",2005,"Kitimat R",NA,"M",4,"781",NA,NA
"955","KIT955",2005,"Kitimat R",NA,"M",4,"701",NA,NA
"956","KIT956",2005,"Kitimat R",NA,"M",4,"605",NA,NA
"957","KIT957",2005,"Kitimat R",NA,"M",4,"794",NA,NA
"958","KIT958",2005,"Kitimat R",NA,"M",4,"705",NA,NA
"959","KIT959",2005,"Kitimat R",NA,"M",4,"790",NA,NA
"960","KIT960",2005,"Kitimat R",NA,"M",4,"659",NA,NA
"961","KIT961",2005,"Kitimat R",NA,"M",4,"659",NA,NA
"962","KIT962",2005,"Kitimat R",NA,"M",4,"615",NA,NA
"963","KIT963",2005,"Kitimat R",NA,"M",4,"690",NA,NA
"964","KIT964",2005,"Kitimat R",NA,"M",4,"720",NA,NA
"965","KIT965",2005,"Kitimat R",NA,"M",4,"698",NA,NA
"966","KIT966",2005,"Kitimat R",NA,"M",4,"769",NA,NA
"967","KIT967",2005,"Kitimat R",NA,"M",4,"680",NA,NA
"968","KIT968",2005,"Kitimat R",NA,"M",4,"770",NA,NA
"969","KIT969",2005,"Kitimat R",NA,"M",4,"614",NA,NA
"970","KIT970",2005,"Hirsch",NA,"M",4,"790",NA,NA
"971","KIT971",2005,"Hirsch",NA,"M",4,"730",NA,NA
"972","KIT972",2005,"Hirsch",NA,"M",4,"720",NA,NA
"973","KIT973",2005,"Kitimat R",NA,"F",5,"830",NA,NA
"974","KIT974",2005,"Hirsch",NA,"F",5,"840",NA,NA
"975","KIT975",2005,"Kitimat R",NA,"M",5,"750",NA,NA
"976","KIT976",2005,"Kitimat R",NA,"M",5,"708",NA,NA
"977","KIT977",2005,"Hirsch",NA,"M",5,"910",NA,NA
"978","KIT978",2006,"Kitimat R",NA,"M",3,"620",NA,NA
"979","KIT979",2006,"Kitimat R",NA,"M",3,"510",NA,NA
"980","KIT980",2006,"Kitimat R",NA,"M",3,"580",NA,NA
"981","KIT981",2006,"Kitimat R",NA,"M",3,"584",NA,NA
"982","KIT982",2006,"Kitimat R",NA,"M",3,"578",NA,NA
"983","KIT983",2006,"Kitimat R",NA,"M",3,"571",NA,NA
"984","KIT984",2006,"Kitimat R",NA,"M",3,"538",NA,NA
"985","KIT985",2006,"Kitimat R",NA,"M",3,"543",NA,NA
"986","KIT986",2006,"Kitimat R",NA,"M",3,"508",NA,NA
"987","KIT987",2006,"Kitimat R",NA,"M",3,"560",NA,NA
"988","KIT988",2006,"Kitimat R",NA,"M",3,"530",NA,NA
"989","KIT989",2006,"Kitimat R",NA,"M",3,"581",NA,NA
"990","KIT990",2006,"Kitimat R",NA,"M",3,"478",NA,NA
"991","KIT991",2006,"Kitimat R",NA,"M",3,"557",NA,NA
"992","KIT992",2006,"Kitimat R",NA,"M",3,"608",NA,NA
"993","KIT993",2006,"Kitimat R",NA,"M",3,"565",NA,NA
"994","KIT994",2006,"Kitimat R",NA,"M",3,"545",NA,NA
"995","KIT995",2006,"Kitimat R",NA,"M",3,"602",NA,NA
"996","KIT996",2006,"Kitimat R",NA,"M",3,"562",NA,NA
"997","KIT997",2006,"Kitimat R",NA,"M",3,"550",NA,NA
"998","KIT998",2006,"Kitimat R",NA,"M",3,"575",NA,NA
"999","KIT999",2006,"Kitimat R",NA,"M",3,"529",NA,NA
"1000","KIT1000",2006,"Kitimat R",NA,"M",3,"568",NA,NA
"1001","KIT1001",2006,"Kitimat R",NA,"M",3,"585",NA,NA
"1002","KIT1002",2006,"Kitimat R",NA,"M",3,"583",NA,NA
"1003","KIT1003",2006,"Kitimat R",NA,"M",3,"571",NA,NA
"1004","KIT1004",2006,"Kitimat R",NA,"M",3,"515",NA,NA
"1005","KIT1005",2006,"Kitimat R",NA,"M",3,"545",NA,NA
"1006","KIT1006",2006,"Kitimat R",NA,"M",3,"595",NA,NA
"1007","KIT1007",2006,"Kitimat R",NA,"M",3,"554",NA,NA
"1008","KIT1008",2006,"Kitimat R",NA,"M",3,"538",NA,NA
"1009","KIT1009",2006,"Kitimat R",NA,"M",3,"565",NA,NA
"1010","KIT1010",2006,"Kitimat R",NA,"M",3,"545",NA,NA
"1011","KIT1011",2006,"Kitimat R",NA,"M",3,"575",NA,NA
"1012","KIT1012",2006,"Kitimat R",NA,"M",3,"550",NA,NA
"1013","KIT1013",2006,"Hirsch",NA,"M",3,"560",NA,NA
"1014","KIT1014",2006,"Hirsch",NA,"M",3,"570",NA,NA
"1015","KIT1015",2006,"Hirsch",NA,"M",3,"540",NA,NA
"1016","KIT1016",2006,"Hirsch",NA,"M",3,"540",NA,NA
"1017","KIT1017",2006,"Hirsch",NA,"M",3,"570",NA,NA
"1018","KIT1018",2006,"Hirsch",NA,"M",3,"570",NA,NA
"1019","KIT1019",2006,"Hirsch",NA,"M",3,"560",NA,NA
"1020","KIT1020",2006,"Hirsch",NA,"M",3,"500",NA,NA
"1021","KIT1021",2006,"Hirsch",NA,"M",3,"570",NA,NA
"1022","KIT1022",2006,"Hirsch",NA,"M",3,"583",NA,NA
"1023","KIT1023",2006,"Hirsch",NA,"M",3,"510",NA,NA
"1024","KIT1024",2006,"Hirsch",NA,"M",3,"555",NA,NA
"1025","KIT1025",2006,"Hirsch",NA,"M",3,"555",NA,NA
"1026","KIT1026",2006,"Hirsch",NA,"M",3,"550",NA,NA
"1027","KIT1027",2006,"Hirsch",NA,"M",3,"540",NA,NA
"1028","KIT1028",2006,"Hirsch",NA,"M",3,"590",NA,NA
"1029","KIT1029",2006,"Hirsch",NA,"M",3,"560",NA,NA
"1030","KIT1030",2006,"Hirsch",NA,"M",3,"525",NA,NA
"1031","KIT1031",2006,"Hirsch",NA,"M",3,"590",NA,NA
